Finalmente consegui comer!\xfffeFoi uma longa espera, mas agora tenho!\xf000븁\x0000
Eu vim de longe da Vila Karakusa\xfffepara experimentar este aroma!\xf000븁\x0000
O gelado desta zona!\xfffeÉ super popular!!\xf000븁\x0000
Uma natural para a famosa loja!\xfffeOlha só para a multidão! Chocante!\xf000븁\x0000
Sim? Podes comprar o famoso\xfffegelado da Cidade Hiun aqui.\xf000븁\x0000Também alinhas?
Bem!\xfffeHá realmente uma fila enorme!\xf000븁\x0000Mas é defenitivamente saboroso,\xfffepor isso digo que vale a pena esperar!\xf000븁\x0000
Huh, muita multidão para ti?\xf000븁\x0000Bem, só entre tu e eu...\xfffeQuando está cheio de gente como hoje,\xf000븀\x0000é quase sempre tudo vendido.\xf000븁\x0000
Hm? Aqui, podes comprar o famoso Gelado Hiun\xfffeda Cidade Hiun\xf000븁\x0000Mas parece que\xfffejá se esgotaram hoje...\xf000븁\x0000
Hm? Aqui, podes comprar o famoso Gelado Hiun\xfffeda Cidade Hiun!\xf000븁\x0000Mas parece que\xfffejá se esgotaram hoje...\xf000븀\x0000Volta noutro dia!\xf000븁\x0000
Bem-vindo ao  local para\xfffeo famoso Gelado Hiun da Cidade Hiun!\xf000븁\x0000Vais comprar um\xfffepor uns escassos $100?
Huh?! A sério que não vais comprar?\xfffeMas sabes que se vai vender em breve!
Muito obrigado!\xf000븁\x0000Aproveite a linda cor\xfffee o puro sabor!\xf000븁\x0000
Muito obrigado!\xf000븁\x0000...Oh, oh, oh?\xfffePareces que não tens suficiente.\xf000븀\x0000Volta noutra altura!\xf000븁\x0000
Muito obrigado!\xf000븁\x0000...Oh, oh, oh?\xfffeA tua mochila parece estar cheia.\xf000븀\x0000Volta noutra altura!\xf000븁\x0000
E depois de tudo à que esperar na fila...\xfffeBem, hum, volta noutra altura!\xf000븁\x0000
Aqui, vendemos o famoso Gelado Hiun\xfffeda Cidade Hiun!\xf000븁\x0000Mas o proprietário percebeu que\xfffedeveriamos fechar a loja para o Inverno...\xf000븀\x0000Volta quando estiver mais calor!
Comprar
Sair
Atelier Hiun
Famoso Gelado Hiun de Hiun\xfffeNa pausa pelo Inverno gelado.
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
sem dados
